0bps 27.26Kbps 14.55Kbps 23.42Kbps 1.33Kbps 16.98Kbps 1.05Kbps 11.42Kbps 29.7Kbps 27.88Kbps 12.65Kbps 25.82Kbps 12.89Kbps 8.88Kbps 16.22Kbps 28.96Kbps 22.51Kbps 23.24Kbps 22.54Kbps 1.82Kbps 27.2Kbps 15.37Kbps 14.64Kbps
21.68Kbps 0bps 10.78Kbps 17.92Kbps 24.38Kbps 2.17Kbps 9.29Kbps 6.3Kbps 20.48Kbps 20.96Kbps 31.55Kbps 14.7Kbps 5.34Kbps 22.8Kbps 30.03Kbps 17.32Kbps 14.01Kbps 9.91Kbps 27.37Kbps 31.13Kbps 22.18Kbps 11.13Kbps 2.17Kbps
22.28Kbps 9.88Kbps 0bps 1.28Kbps 9.52Kbps 23.44Kbps 23.9Kbps 23.51Kbps 31.23Kbps 25.02Kbps 14.04Kbps 28.14Kbps 27.52Kbps 30.17Kbps 30.68Kbps 2.96Kbps 22.79Kbps 8.31Kbps 30.42Kbps 12.21Kbps 6.22Kbps 14.93Kbps 24.56Kbps
29.31Kbps 17.16Kbps 20.78Kbps 0bps 24.43Kbps 11.78Kbps 27.87Kbps 19.53Kbps 8.94Kbps 31.22Kbps 14.17Kbps 24.93Kbps 10.04Kbps 26.6Kbps 20.13Kbps 17.17Kbps 31.33Kbps 7.52Kbps 23.62Kbps 26.63Kbps 13.44Kbps 6.0Kbps 23.27Kbps
12.52Kbps 9.39Kbps 481.39bps 15.73Kbps 0bps 30.83Kbps 32.32Kbps 10.4Kbps 2.04Kbps 17.58Kbps 22.76Kbps 24.3Kbps 6.47Kbps 2.1Kbps 17.17Kbps 28.2Kbps 27.35Kbps 28.1Kbps 24.74Kbps 2.93Kbps 12.75Kbps 26.64Kbps 2.5Kbps
14.81Kbps 20.58Kbps 16.2Kbps 6.63Kbps 19.54Kbps 0bps 27.87Kbps 31.17Kbps 30.74Kbps 28.73Kbps 2.44Kbps 1.3Kbps 28.59Kbps 1.5Kbps 4.68Kbps 10.48Kbps 8.73Kbps 26.59Kbps 697.11bps 25.03Kbps 15.81Kbps 20.03Kbps 26.47Kbps
30.12Kbps 32.11Kbps 2.92Kbps 31.82Kbps 17.49Kbps 21.59Kbps 0bps 8.77Kbps 5.27Kbps 14.59Kbps 17.21Kbps 13.62Kbps 4.87Kbps 4.03Kbps 14.55Kbps 2.89Kbps 16.89Kbps 32.52Kbps 27.03Kbps 12.52Kbps 8.97Kbps 459.31bps 31.89Kbps
32.46Kbps 20.51Kbps 27.9Kbps 18.06Kbps 9.26Kbps 6.55Kbps 16.77Kbps 0bps 10.21Kbps 1.8Kbps 1.55Kbps 22.66Kbps 23.34Kbps 303.95bps 3.31Kbps 2.77Kbps 25.1Kbps 15.75Kbps 21.09Kbps 620.5bps 23.56Kbps 1.64Kbps 22.96Kbps
1.68Kbps 27.48Kbps 3.52Kbps 13.77Kbps 20.31Kbps 19.81Kbps 20.58Kbps 14.01Kbps 0bps 22.52Kbps 31.77Kbps 3.56Kbps 7.71Kbps 25.08Kbps 10.09Kbps 25.55Kbps 17.33Kbps 22.08Kbps 29.03Kbps 23.91Kbps 10.97Kbps 16.84Kbps 11.96Kbps
2.02Kbps 9.77Kbps 27.7Kbps 6.66Kbps 19.06Kbps 31.73Kbps 15.46Kbps 25.44Kbps 30.66Kbps 0bps 18.3Kbps 30.06Kbps 16.16Kbps 6.45Kbps 23.96Kbps 31.3Kbps 29.6Kbps 28.84Kbps 10.65Kbps 13.96Kbps 25.18Kbps 29.16Kbps 27.29Kbps
27.46Kbps 242.23bps 6.35Kbps 21.32Kbps 12.38Kbps 12.55Kbps 26.25Kbps 12.7Kbps 21.71Kbps 19.13Kbps 0bps 15.25Kbps 24.5Kbps 30.43Kbps 18.47Kbps 1.34Kbps 3.7Kbps 19.43Kbps 19.74Kbps 8.97Kbps 24.92Kbps 8.35Kbps 1.63Kbps
